pickup_location,hour,low_eff_rate
Bronx,1,0.16666666666666666
Bronx,4,0.3333333333333333
Bronx,5,0.6
Bronx,6,0.6
Bronx,8,0.125
Bronx,9,0.3076923076923077
Bronx,10,0.1875
Bronx,11,0.3103448275862069
Bronx,12,0.5238095238095238
Bronx,13,0.4
Bronx,14,0.46153846153846156
Bronx,15,0.48484848484848486
Bronx,16,0.28
Bronx,17,0.10344827586206896
Bronx,18,0.3333333333333333
Bronx,19,0.3333333333333333
Bronx,20,0.34615384615384615
Bronx,21,0.47058823529411764
Bronx,22,0.2727272727272727
Bronx,23,0.3
Bronx,24,0.25
Brooklyn,1,0.10294117647058823
Brooklyn,2,0.18
Brooklyn,3,0.3333333333333333
Brooklyn,6,0.1111111111111111
Brooklyn,7,0.1875
Brooklyn,8,0.28
Brooklyn,9,0.16
Brooklyn,10,0.24822695035460993
Brooklyn,11,0.1858974358974359
Brooklyn,12,0.17415730337078653
Brooklyn,13,0.19004524886877827
Brooklyn,14,0.16600790513833993
Brooklyn,15,0.21851851851851853
Brooklyn,16,0.1903323262839879
Brooklyn,17,0.09006211180124224
Brooklyn,18,0.10803324099722991
Brooklyn,19,0.09862385321100918
Brooklyn,20,0.11274509803921569
Brooklyn,21,0.1329639889196676
Brooklyn,22,0.1449814126394052
Brooklyn,23,0.16393442622950818
Brooklyn,24,0.16666666666666666
Manhattan,1,0.1450381679389313
Manhattan,2,0.0875
Manhattan,3,0.1891891891891892
Manhattan,4,0.375
Manhattan,5,0.1875
Manhattan,6,0.05454545454545454
Manhattan,7,0.036395147313691506
Manhattan,8,0.0807715491259795
Manhattan,9,0.081445523193096
Manhattan,10,0.10295670538542767
Manhattan,11,0.10938399539435809
Manhattan,12,0.11709455228553538
Manhattan,13,0.10606060606060606
Manhattan,14,0.12572161642078256
Manhattan,15,0.12160694896851248
Manhattan,16,0.09891150023663038
Manhattan,17,0.043162199000454336
Manhattan,18,0.04207573632538569
Manhattan,19,0.04090471607314726
Manhattan,20,0.029508196721311476
Manhattan,21,0.05157593123209169
Manhattan,22,0.038461538461538464
Manhattan,23,0.04285714285714286
Manhattan,24,0.05172413793103448
Queens,1,0.09782608695652174
Queens,2,0.09580838323353294
Queens,3,0.1693548387096774
Queens,4,0.176056338028169
Queens,5,0.10101010101010101
Queens,6,0.08974358974358974
Queens,7,0.35714285714285715
Queens,8,0.27391304347826084
Queens,9,0.23102310231023102
Queens,10,0.2626865671641791
Queens,11,0.26700251889168763
Queens,12,0.2545871559633027
Queens,13,0.21158129175946547
Queens,14,0.20463320463320464
Queens,15,0.23615635179153094
Queens,16,0.24362244897959184
Queens,17,0.12600229095074456
Queens,18,0.09785932721712538
Queens,19,0.07328833172613308
Queens,20,0.07168458781362007
Queens,21,0.1024
Queens,22,0.09090909090909091
Queens,23,0.1211453744493392
Queens,24,0.11370262390670553
